pop3 start at 2021-04-19-10_21_18
connection from (127.0.0.1,57887) at 2021-04-19-10:21:24
smtp get 'user admin   ' at 2021-04-19-10:21:53 from (127.0.0.1, 57887)
smtp get 'pass admin    ' at 2021-04-19-10:21:56 from (127.0.0.1, 57887)
smtp get 'list    ' at 2021-04-19-10:22:00 from (127.0.0.1, 57887)
smtp get 'dele 1    ' at 2021-04-19-10:22:04 from (127.0.0.1, 57887)
smtp get 'stat   ' at 2021-04-19-10:22:07 from (127.0.0.1, 57887)
smtp get 'list    ' at 2021-04-19-10:22:11 from (127.0.0.1, 57887)
smtp get 'retr 1   ' at 2021-04-19-10:22:14 from (127.0.0.1, 57887)
smtp get 'retr 3   ' at 2021-04-19-10:22:18 from (127.0.0.1, 57887)
smtp get 'retr 4    ' at 2021-04-19-10:22:20 from (127.0.0.1, 57887)
smtp get 'dele 2    ' at 2021-04-19-10:22:26 from (127.0.0.1, 57887)
smtp get 'list 1    ' at 2021-04-19-10:22:31 from (127.0.0.1, 57887)
smtp get 'list 4    ' at 2021-04-19-10:22:35 from (127.0.0.1, 57887)
smtp get 'dele 4    ' at 2021-04-19-10:22:42 from (127.0.0.1, 57887)
smtp get 'stat   ' at 2021-04-19-10:22:46 from (127.0.0.1, 57887)
smtp get 'list    ' at 2021-04-19-10:22:50 from (127.0.0.1, 57887)
smtp get 'list 4   ' at 2021-04-19-10:22:57 from (127.0.0.1, 57887)
smtp get 'retr 4    ' at 2021-04-19-10:23:03 from (127.0.0.1, 57887)
smtp get 'retr 1    ' at 2021-04-19-10:23:07 from (127.0.0.1, 57887)
smtp get 'rset  ' at 2021-04-19-10:23:11 from (127.0.0.1, 57887)
smtp get 'list    ' at 2021-04-19-10:23:14 from (127.0.0.1, 57887)
smtp get 'stat   ' at 2021-04-19-10:26:04 from (127.0.0.1, 57887)
smtp get 'retr 1    ' at 2021-04-19-10:26:10 from (127.0.0.1, 57887)
smtp get 'retr 2   ' at 2021-04-19-10:26:13 from (127.0.0.1, 57887)
smtp get 'retr 4    ' at 2021-04-19-10:26:15 from (127.0.0.1, 57887)
pop3 stop at 2021-04-19-10:26:23
